"","nct_id","...1","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_update_posted_date","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","completion_date","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","overall_status","last_known_status","phase","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","Countries_name","reported_race","start_year","countries","id","description","agency_class","funding","phase_2","phase_binary","reported_race_2","reported_race_3","multiple_locations","bi_year","N_total","N_binary","Location_Black_Percent","Nature","Nature_2","Mean_Trips","Mean_Vehicles","Mean_Cost","Mean_Black_highschool","Mean_Black_bachelor","Mean_Computer","Mean_Internet","Mean_insurance","Mean_uninsured","Median_Black_Income","state","body_count","Mean_body_count","Mean_hours_work_Black","Mean_weeks_unemployed_black_2","Median_weeks_unemployed_black_2","Mean_housing_units","Mean_homeowner_rates","Mean_poverty_rates","diverse_index","Mean_Religious","State_politics","N_total_quartile","start_year_quartile","Location_Black_Percent_quartile","Mean_Trips_quartile","Mean_Vehicles_quartile","Mean_Cost_quartile","Mean_Black_highschool_quartile","Mean_Black_bachelor_quartile","Mean_Computer_quartile","Mean_Internet_quartile","Mean_insurance_quartile","Median_Black_Income_quartile","Mean_body_count_quartile","Mean_weeks_unemployed_black_2_quartile","Mean_housing_units_quartile","Mean_homeowner_rates_quartile","Mean_poverty_rates_quartile","Mean_Religious_quartile","Mean_Computer_Overtime","Mean_Internet_Overtime","Mean_Highschool_Overtime","Mean_Bachelor_Overtime","Mean_Employment_Overtime","Mean_Homeownership_Overtime","Mean_Housing_Overtime","Mean_Insurance_Overtime","Mean_MedianIncome_Overtime","Mean_body_Overtime","Mean_Population_Overtime","Mean_Poverty_Overtime","Mean_Transport_Overtime","Mean_Computer_Overtime_quartile","Mean_Internet_Overtime_quartile","Mean_Highschool_Overtime_quartile","Mean_Bachelor_Overtime_quartile","Mean_Employment_Overtime_quartile","Mean_Homeownership_Overtime_quartile","Mean_Housing_Overtime_quartile","Mean_Insurance_Overtime_quartile","Mean_MedianIncome_Overtime_quartile","Mean_body_Overtime_quartile","Mean_Population_Overtime_quartile","Mean_Poverty_Overtime_quartile","Mean_Transport_Overtime_quartile"
"1","NCT00000409",1,"ClinicalTrials.gov processed this data on June 30, 2020",1999-11-03,NA,NA,2015-08-03,1999-11-03,1999-11-04,"Estimate",NA,NA,NA,NA,NA,NA,2015-08-03,2015-08-04,"Estimate",2000-03-01,NA,2000-03-31,2015-08-01,2015-08-31,2015-04-01,"Actual",2015-04-30,2015-04-01,"Actual",2015-04-30,NA,"Interventional","SPORT",NA,"Spine Patient Outcomes Research Trial (SPORT): Degenerative Spondylolisthesis With Spinal Stenosis","Spine Patient Outcomes Research Trial (SPORT): A Multicenter Randomized Trial for Degenerative Spondylolisthesis (DS) With Spinal Stenosis (SpS) at L4/L5 Level.","Completed",NA,"Phase 4",304,"Actual","Dartmouth-Hitchcock Medical Center",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:32:19,2020-07-01 19:32:19,"United States",1,2000,"North America",5063240,"
      This study tests the effectiveness of different treatments for the three most commonly
      diagnosed conditions of the lower backbone (lumbar spine). The purpose is to learn which of
      two commonly prescribed treatments (surgery and nonsurgical therapy) works better for
      specific types of low back pain.

      In this part of the study, we will treat patients with spinal stenosis (a narrowing of spaces
      in the backbone that results in pressure on the spinal cord and/or nerve roots) caused by
      degenerative spondylolisthesis (a condition in which one vertebra, or spinal bone, slips
      forward on another) with either surgery or nonsurgical methods. This study does not cover the
      cost of treatment.
","Other","Non-Industry","Phase 4","Late Phase","1","1","yes","Before",601,"large",0.112672727272727,"Mixed","Non-Government",46.1950944377122,9491.76923076923,22.5239989320072,85.1428186047976,21.6627493713192,91.6375450192019,85.8863905765359,92.5076923076923,7.49230769230769,43465.5384615385,"California,California,Georgia,Illinois,Maine,Michigan,Missouri,Nebraska,New Hampshire,New York,New York,Ohio,Pennsylvania","808,808,542,532,4,277,318,33,1,292,292,368,308",352.538461538462,38.4769230769231,25.5818181818182,11.5272727272727,5843604.84615385,64.5903846153846,11.6,"0",0.501538461538462,"Mixed","3","0","1","3","2","1","0","1","1","2","2","2","2","2","2","1","1","1",57.5,51.1,76.0962277965154,16.1923076923077,60.3846153846154,67.9596153846154,1572049.30769231,88.4676552774953,43751.8461538462,14.9090909090909,1505526.23076923,10.5307692307692,8.97066031691119,"0","0","0","0","3","2","0","2","0","1","1","0","1"
"2","NCT00000410",2,"ClinicalTrials.gov processed this data on June 30, 2020",1999-11-03,NA,NA,2015-08-03,1999-11-03,1999-11-04,"Estimate",NA,NA,NA,NA,NA,NA,2015-08-03,2015-08-04,"Estimate",2000-03-01,NA,2000-03-31,2015-08-01,2015-08-31,2015-04-01,"Actual",2015-04-30,2015-04-01,"Actual",2015-04-30,NA,"Interventional","SPORT",NA,"Spine Patient Outcomes Research Trial (SPORT) - Intervertebral Disc Herniation","Spine Patient Outcomes Research Trial (SPORT): A Multicenter Randomized Trial for Intervertebral Disc Herniation (IDH)","Completed",NA,"Phase 4",501,"Actual","Dartmouth-Hitchcock Medical Center",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:32:19,2020-07-01 19:32:19,"United States",1,2000,"North America",5063239,"
      This study tests the effectiveness of different treatments for the three most commonly
      diagnosed lumbar (lower) spine conditions. The purpose of the study is to learn which of two
      commonly prescribed treatments (surgery and non-surgical therapy) works better for specific
      types of low back pain.

      In this part of the study, people with lumbar intervertebral disc herniation (damage to the
      tissue between the bones of the lower spine, or backbone) will receive either discectomy
      (surgical removal of herniated disc material) or non-surgical treatment. This study does not
      cover the cost of treatment.
","Other","Non-Industry","Phase 4","Late Phase","1","1","yes","Before",782,"large",0.112672727272727,"Mixed","Non-Government",46.1950944377122,9491.76923076923,22.5239989320072,85.1428186047976,21.6627493713192,91.6375450192019,85.8863905765359,92.5076923076923,7.49230769230769,43465.5384615385,"California,California,Georgia,Illinois,Maine,Michigan,Missouri,Nebraska,New Hampshire,New York,New York,Ohio,Pennsylvania","808,808,542,532,4,277,318,33,1,292,292,368,308",352.538461538462,38.4769230769231,25.5818181818182,11.5272727272727,5843604.84615385,64.5903846153846,11.6,"0",0.501538461538462,"Mixed","3","0","1","3","2","1","0","1","1","2","2","2","2","2","2","1","1","1",57.5,51.1,76.0962277965154,16.1923076923077,60.3846153846154,67.9596153846154,1572049.30769231,88.4676552774953,43751.8461538462,14.9090909090909,1505526.23076923,10.5307692307692,8.97066031691119,"0","0","0","0","3","2","0","2","0","1","1","0","1"
"3","NCT00000411",3,"ClinicalTrials.gov processed this data on June 30, 2020",1999-11-03,NA,NA,2015-08-03,1999-11-03,1999-11-04,"Estimate",NA,NA,NA,NA,NA,NA,2015-08-03,2015-08-04,"Estimate",2000-03-01,NA,2000-03-31,2015-08-01,2015-08-31,2015-04-01,"Actual",2015-04-30,2015-04-01,"Actual",2015-04-30,NA,"Interventional",NA,NA,"Spine Patient Outcomes Research Trial (SPORT): Spinal Stenosis","Spine Patient Outcomes Research Trial (SPORT): A Multicenter Trial for Spinal Stenosis (SpS)","Completed",NA,"Phase 4",289,"Actual","Dartmouth-Hitchcock Medical Center",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:32:19,2020-07-01 19:32:19,"United States",1,2000,"North America",5063238,"
      This study tests the effectiveness of different treatments for the three most commonly
      diagnosed conditions of the lower backbone (lumbar spine). The purpose is to learn which of
      two commonly prescribed treatments (surgery and nonsurgical therapy) works better for
      specific types of low back pain. Low back pain is one of the most widely experienced health
      problems in the United States and the world. It is the second most frequent condition, after
      the common cold, for which people see a doctor or lose days from work.

      In this part of the study, we will treat patients with spinal stenosis (a narrowing of spaces
      in the backbone that results in pressure on the spinal cord and/or nerve roots) with a type
      of surgery known as posterior decompressive laminectomy or with nonsurgical methods. This
      study does not cover the cost of treatment.
","Other","Non-Industry","Phase 4","Late Phase","1","1","yes","Before",634,"large",0.112672727272727,"Mixed","Non-Government",46.1950944377122,9491.76923076923,22.5239989320072,85.1428186047976,21.6627493713192,91.6375450192019,85.8863905765359,92.5076923076923,7.49230769230769,43465.5384615385,"California,California,Georgia,Illinois,Maine,Michigan,Missouri,Nebraska,New Hampshire,New York,New York,Ohio,Pennsylvania","808,808,542,532,4,277,318,33,1,292,292,368,308",352.538461538462,38.4769230769231,25.5818181818182,11.5272727272727,5843604.84615385,64.5903846153846,11.6,"0",0.501538461538462,"Mixed","3","0","1","3","2","1","0","1","1","2","2","2","2","2","2","1","1","1",57.5,51.1,76.0962277965154,16.1923076923077,60.3846153846154,67.9596153846154,1572049.30769231,88.4676552774953,43751.8461538462,14.9090909090909,1505526.23076923,10.5307692307692,8.97066031691119,"0","0","0","0","3","2","0","2","0","1","1","0","1"
"4","NCT00006289",6,"ClinicalTrials.gov processed this data on June 30, 2020",2000-09-21,2013-06-04,NA,2017-08-21,2000-09-21,2000-09-22,"Estimate",2016-05-12,2016-06-21,"Estimate",NA,NA,NA,2017-08-21,2017-08-22,"Actual",2000-09-01,NA,2000-09-30,2017-08-01,2017-08-31,2012-06-01,"Actual",2012-06-30,2012-06-01,"Actual",2012-06-30,NA,"Interventional",NA,"Clinical evaluation includes blood chemistries (acute care, hepatic panel, and mineral panel) as well as measurements of pain (including allodynia, hyperalgesia, and hyperpathia), edema, autonomic dysfunction (altered skin color, temperature, or sudomotor activity) and extent of movement disorders.","Neurotropin to Treat Chronic Neuropathic Pain","Neurotropin for Acute Dental Pain and for Chronic Neuropathic Pain","Terminated",NA,"Phase 2",21,"Actual","National Institutes of Health Clinical Center (CC)","Because of the difficulty in patient recruitment, the interim analysis was performed for the first 16 patients (target was 30). The results are inconclusive due to large variations in pain scores associated with insufficient the number of patients.",2,NA,"difficulty in the recruitment of patients",FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:30:46,2020-07-01 19:30:46,"United States",0,2000,"North America",5061880,"
      This study will examine the effectiveness of the drug neurotropin in treating chronic pain
      after injury to a limb or a large nerve.

      Two groups of patients will participate in this study: patients with complex regional pain
      syndrome type 1, or CRPS-I (also called reflex sympathetic dystrophy) and patients with
      complex regional pain syndrome type 2, or CRPS-II. CRPS-I is pain that develops after
      relatively minor injury to an arm or leg, but lasts much longer and is much more severe than
      would normally be expected. CRPS-II is pain resulting from injury to a large nerve.
      Candidates will have a history and physical examination, blood tests, and electrocardiogram.
      Participants will undergo the following tests and procedures:

      Patients with CRPS I and II will receive an individualized regimen of physical therapy and
      standard treatment to control their pain. In addition, they will receive neurotropin or
      placebo tablets for 5 weeks, then no trial medicine for at least 1 week, and then the other
      trial drug for the next 5 weeks. That is, patients who took placebo the first 5 weeks will
      take neurotropin the second 5 weeks and vice versa. Neither the patients nor the doctors will
      know who received which drug during the two intervals until the study is over. Patients will
      complete questionnaires about their pain, quality of life, and ability to perform daily
      living activities. They will have various tests to measure pain (such as sensitivity to heat
      and cold, to an electric current, to a mild pin prick, etc.); to provide information about
      changes in their condition (such as tests of range of motion of joints and limb size); to
      measure blood circulation and sweating in the arm or leg (such as measurements of blood flow
      to the limb, skin temperature, and sweat production), and other procedures.
","NIH","Non-Industry","Phase 2","Early Phase","0","0","no","Before",21,"small",0.2989,"GOVERNMENT","Government",21.0582330511643,3310,23.724418,89.9765779286483,30.0221976041811,93.2427230557547,88.3305797953642,94,6,67583,"Maryland","269",269,38.9,24.4,12.4,2470316,68.775,7.1,"1",0.54,"D","0","0","3","1","0","2","3","3","3","3","2","3","1","2","0","3","0","2",64.1,57.9,78.9471802343771,20.3,68.6,71.225,653650,91.0066577425069,54535,8,1679719,7.4,10.8327699960329,"0","0","0","2","3","3","0","2","2","1","2","0","2"
"5","NCT00029770",7,"ClinicalTrials.gov processed this data on June 30, 2020",2002-01-23,NA,NA,2008-01-23,2002-01-23,2002-01-24,"Estimate",NA,NA,NA,NA,NA,NA,2008-01-23,2008-01-25,"Estimate",2001-09-01,NA,2001-09-30,2008-01-01,2008-01-31,2007-05-01,"Actual",2007-05-31,2007-05-01,"Actual",2007-05-31,NA,"Interventional",NA,NA,"Chiropractic Care, Medication, and Self-Care for Neck Pain","Chiropractic Care, Medication, and Self-Care for Neck Pain","Completed",NA,"Phase 2",270,NA,"National Center for Complementary and Integrative Health (NCCIH)",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:28:01,2020-07-01 19:28:01,"United States",0,2001,"North America",5059921,"
      This study will compare the effectiveness of chiropractic care, medications, and self-care on
      neck pain, a very common condition. The broad, long-term objective of this study is to
      identify effective therapies for neck pain sufferers and to increase understanding of neck
      pain conditions.
","NIH","Non-Industry","Phase 2","Early Phase","0","0","no","Before",272,"small",0.0641,"PROPRIETARY","Non-Government",18.5628819171079,3192,19.0102597701149,81.7437570733571,23.0232569533244,92.6590939021884,87.4669335225385,95.1,4.9,37811,"Minnesota","71",71,38.5,13.4,7.3,2477753,71.425,8.7,NA,0.49,"R","3","0","0","1","0","0","0","2","2","2","3","0","0","0","0","3","0","0",64.5,55.5,92.6,31.4,66.9,76.525,4295961,93.0829610852518,52681,4,268406,7.4,7.83802073605776,"0","0","3","3","3","3","1","3","2","0","0","0","1"
"6","NCT00056212",8,"ClinicalTrials.gov processed this data on June 30, 2020",2003-03-07,NA,NA,2006-08-17,2003-03-08,2003-03-10,"Estimate",NA,NA,NA,NA,NA,NA,2006-08-17,2006-08-18,"Estimate",2002-07-01,NA,2002-07-31,2006-07-01,2006-07-31,2004-10-01,NA,2004-10-31,NA,NA,NA,NA,"Interventional",NA,NA,"Evaluating Yoga for Chronic Low Back Pain","Evaluating Yoga for Chronic Low Back Pain","Completed",NA,"N/A",100,NA,"National Center for Complementary and Integrative Health (NCCIH)",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:20:00,2020-07-01 19:20:00,"United States",0,2002,"North America",5056739,"
      This study will compare the effectiveness of yoga classes, exercise classes, and a self-care
      book in the management of pain and function for people with low back pain.
","NIH","Non-Industry",NA,NA,"0","0","no","Before",101,"small",0.038,"NON-PROFIT","Non-Government",36.3274444869134,9176,31.6889445945946,89.9549312007655,27.2652644054344,94.6878709316023,90.128095190568,93.4,6.6,52742,"Washington","79",79,40.1,19.5,7.1,3195004,63.75,10.3,"0",0.45,"D","2","0","0","3","2","3","3","3","3","3","2","3","0","0","1","1","0","0",71.4,62.3,90.4,28.3,67.6,67.6,3018631,87.7162070458586,45183,4,229359,11,13.486176059384,"0","0","3","3","3","2","1","2","0","0","0","0","3"
"7","NCT00058968",9,"ClinicalTrials.gov processed this data on June 30, 2020",2003-04-15,NA,NA,2007-05-16,2003-04-15,2003-04-16,"Estimate",NA,NA,NA,NA,NA,NA,2007-05-16,2007-05-17,"Estimate",2002-10-01,NA,2002-10-31,2007-05-01,2007-05-31,2005-03-01,"Actual",2005-03-31,NA,NA,NA,NA,"Interventional",NA,NA,"A Study for the Treatment of Painful Diabetic Neuropathy","Duloxetine Versus Placebo in the Treatment of Patients With Painful Diabetic Neuropathy","Completed",NA,"Phase 3",660,NA,"Eli Lilly and Company",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:19:28,2020-07-01 19:19:28,"United States",1,2002,"North America",5056530,"
      The purpose of the study is to determine if duloxetine can help patients with painful
      diabetic neuropathy.
","Industry","Industry","Phase 3","Late Phase","1","1","no","Before",1024,"large",0.1607,NA,NA,10.8520119990814,7664,22.4099354166667,83.6675053704509,20.0425132752181,93.1995588371443,85.4328926528048,86.8,13.2,41702,"Florida","620",620,39.4,22.6,10.8,9673682,66.025,13.6,NA,0.54,"R","3","0","3","1","2","1","0","0","2","1","0","1","3","1","3","2","3","2",61.1,55.7,83.3,25.7,61.8,72.4,278099,84.3769657370662,38024,16,2875804,12.6,10.0831815208954,"0","0","0","3","3","3","0","1","0","1","3","1","2"
"8","NCT00064623",10,"ClinicalTrials.gov processed this data on June 30, 2020",2003-07-10,NA,NA,2008-03-04,2003-07-10,2003-07-11,"Estimate",NA,NA,NA,NA,NA,NA,2008-03-04,2008-03-06,"Estimate",2003-08-01,NA,2003-08-31,2008-03-01,2008-03-31,2005-11-01,NA,2005-11-30,NA,NA,NA,NA,"Interventional",NA,NA,"Study of NGX-4010 for the Treatment of Painful HIV-Associated Neuropathy","A Randomized, Double-Blind, Controlled Dose Finding Study of NGX-4010 for the Treatment of Painful HIV-Associated Distal Symmetrical Polyneuropathy","Completed",NA,"Phase 3",300,NA,"NeurogesX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:18:13,2020-07-01 19:18:13,"United States",0,2003,"North America",5055969,"
      The purpose of the study is to determine if an investigational drug, NGX-4010
      (high-concentration capsaicin patch), is effective in treating painful HIV-associated
      neuropathy.
","Industry","Industry","Phase 3","Late Phase","0","0","yes","Before",272,"small",0.112827777777778,"PROPRIETARY","Non-Government",36.7585810587615,9772.82857142857,22.135413313022,87.2938589310072,23.6755877235787,92.5319704070099,86.1433761318141,90.5114285714286,9.48857142857143,45792.0285714286,"Arizona,Arizona,California,California,California,California,California,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Hawaii,Illinois,Kentucky,Maryland,Massachusetts,Massachusetts,Michigan,Minnesota,Missouri,New Jersey,New York,New York,New York,North Carolina,Ohio,Oregon,Texas,Texas,Texas,Texas,Wisconsin","60,60,808,808,808,808,808,620,620,620,620,620,620,620,2,532,76,269,45,45,277,71,318,243,292,292,292,264,368,18,624,624,624,624,96",414.171428571429,38.9114285714286,24.2484848484848,11.1121212121212,7440045.14285714,62.8564285714286,12.1942857142857,"0",0.524857142857143,"Mixed","3","0","1","3","2","1","2","2","2","2","1","2","2","2","2","1","2","1",62.3428571428571,55.6114285714286,84.7057142857143,28.2571428571429,58.1714285714286,67.38,1463383.71428571,84.6186801039103,44045.4,15.9375,1811067.74285714,12.7085714285714,9.4246729256272,"0","0","1","3","2","2","0","1","0","1","2","1","2"
"9","NCT00065585",11,"ClinicalTrials.gov processed this data on June 30, 2020",2003-07-28,NA,NA,2019-10-03,2003-07-30,2003-07-31,"Estimate",NA,NA,NA,NA,NA,NA,2019-10-03,2019-10-07,"Actual",2004-04-01,NA,2004-04-30,2019-10-01,2019-10-31,2007-06-01,"Actual",2007-06-30,2006-09-01,"Actual",2006-09-30,NA,"Interventional",NA,NA,"Efficacy of Acupuncture for Chronic Low Back Pain","Efficacy of Acupuncture for Chronic Low Back Pain","Completed",NA,"Phase 3",640,NA,"Kaiser Permanente",NA,4,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:17:55,2020-07-01 19:17:55,"United States",1,2004,"North America",5055872,"
      This is a trial to clarify the extent to which acupuncture needling can diminish the effect
      of chronic back pain on patient functioning and symptoms.
","Other","Non-Industry","Phase 3","Late Phase","1","1","yes","Before",638,"large",0.04795,"Mixed","Non-Government",34.2951725088353,16689,27.6293568156459,90.4813470964174,27.1222750549087,94.5386812578548,89.5330940302406,92.85,7.15,52289.5,"California,Washington","808,79",443.5,39.4,21.85,9.1,8780670,59.2875,11.4,"0",0.47,"D","3","0","0","3","3","3","3","3","3","3","2","3","2","1","3","0","1","0",86.6,72.35,85.5,30.8,59.95,63.65,2182508,84.9793284988124,49572,16.5,1191857.5,12.3,13.8739734120837,"2","1","1","3","3","1","0","1","1","1","1","1","3"
"10","NCT00068445",13,"ClinicalTrials.gov processed this data on June 30, 2020",2003-09-10,2018-02-06,NA,2018-04-03,2003-09-10,2003-09-11,"Estimate",2018-04-03,2018-05-04,"Actual",NA,NA,NA,2018-04-03,2018-05-04,"Actual",2004-02-01,NA,2004-02-29,2018-04-01,2018-04-30,2013-11-01,"Actual",2013-11-30,2006-05-01,"Actual",2006-05-31,NA,"Interventional",NA,NA,"Lamotrigine in Treating Peripheral Neuropathy Caused by Chemotherapy in Patients With Cancer","The Efficacy of Lamotrigine in the Management of Chemotherapy-Induced Peripheral Neuropathy: A Phase III Randomized, Double Blind, Placebo-Controlled Trial","Completed",NA,"Phase 3",131,"Actual","Alliance for Clinical Trials in Oncology",NA,2,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-07-01 19:17:05,2020-07-01 19:17:05,"United States",0,2004,"North America",5055611,"
      RATIONALE: Lamotrigine may be effective in reducing pain, numbness, tingling, and other
      symptoms of peripheral neuropathy. It is not yet known whether lamotrigine is effective in
      treating peripheral neuropathy caused by chemotherapy.

      PURPOSE: This randomized phase III trial is studying how well lamotrigine works in reducing
      pain, numbness, tingling, and other symptoms of peripheral neuropathy caused by chemotherapy
      in patients with cancer.
","Other","Non-Industry","Phase 3","Late Phase","0","0","yes","Before",125,"small",0.102206666666667,"Mixed","Non-Government",14.1914981562937,3221.95652173913,20.2538050729068,84.1310430003234,19.4611224382089,91.4292389051107,84.9080901896828,92.5304347826087,7.4695652173913,38507.0869565217,"Arizona,Florida,Georgia,Hawaii,Illinois,Illinois,Iowa,Iowa,Iowa,Kansas,Michigan,Minnesota,Minnesota,Minnesota,Minnesota,Nebraska,North Dakota,Ohio,Ohio,South Carolina,South Dakota,South Dakota,Wisconsin","60,620,542,2,532,532,34,34,34,60,277,71,71,71,71,33,1,368,368,229,1,1,96",178.608695652174,38.695652173913,20.075,9.20625,3093046.35,68.1163043478261,10.9695652173913,"1",0.542173913043478,"Mixed","2","0","1","1","0","0","0","0","1","1","2","0","1","0","1","2","1","2",81.9695652173913,68.5652173913043,88.5913043478261,27,59.6347826086957,71.9076086956522,2319678.47826087,89.0409393418126,45540.2173913043,8.05555555555556,747356.826086957,11.0565217391304,7.76239258360603,"1","0","3","3","3","3","0","2","0","1","0","0","1"
