"","nct_id","...1","study_type","phase","start_date","completion_date","official_title","enrollment","agency_class","classification","White_percent","Black_percent","POC_percent","Black_POC_percent","female_percent","total_sex","start_year","end_year","years_passed","countries","vi","Countries_name","funding","start_year_binary","id","name","drugs","opioids","N_total","White_N","Black_N","POC_N","Black_POC_N","phase_binary","pain_type","special_population","Black_percent_2","multiple_locations","Location_Black_Percent","Location_Black_N","Nature","kids_2","Nature_2","female_2","veterans_2","Mean_Trips","Mean_Vehicles","Mean_Cost","Mean_Black_highschool","Mean_Black_bachelor","Mean_Computer","Mean_Internet","Mean_insurance","Mean_uninsured","Black_diff","Median_Black_Income","state","body_count","Mean_body_count","Mean_hours_work_Black","Mean_weeks_unemployed_black_2","Median_weeks_unemployed_black_2","Mean_housing_units","Mean_homeowner_rates","Mean_poverty_rates","bi_year","diverse_index","Mean_Religious","State_politics","N_binary","Mean_total_bachelor","acute_2","chronic_2","cancer_2","N_total_quartile","start_year_quartile","Location_Black_Percent_quartile","Mean_Trips_quartile","Mean_Vehicles_quartile","Mean_Cost_quartile","Mean_Black_highschool_quartile","Mean_Black_bachelor_quartile","Mean_Computer_quartile","Mean_Internet_quartile","Mean_insurance_quartile","Median_Black_Income_quartile","Mean_body_count_quartile","Mean_weeks_unemployed_black_2_quartile","Mean_housing_units_quartile","Mean_homeowner_rates_quartile","Mean_poverty_rates_quartile","Mean_Religious_quartile","Mean_Computer_Overtime","Mean_Internet_Overtime","Mean_Highschool_Overtime","Mean_Bachelor_Overtime","Mean_Employment_Overtime","Mean_Homeownership_Overtime","Mean_Housing_Overtime","Mean_Insurance_Overtime","Mean_MedianIncome_Overtime","Mean_body_Overtime","Mean_Population_Overtime","Mean_Poverty_Overtime","Mean_Transport_Overtime","Mean_Computer_Overtime_quartile","Mean_Internet_Overtime_quartile","Mean_Highschool_Overtime_quartile","Mean_Bachelor_Overtime_quartile","Mean_Employment_Overtime_quartile","Mean_Homeownership_Overtime_quartile","Mean_Housing_Overtime_quartile","Mean_Insurance_Overtime_quartile","Mean_MedianIncome_Overtime_quartile","Mean_body_Overtime_quartile","Mean_Population_Overtime_quartile","Mean_Poverty_Overtime_quartile","Mean_Transport_Overtime_quartile","elderly_2","Mean_Total_Population_Overtime","special_population_2"
"1","NCT00000409",1,"Interventional","Phase 4",2000-03-31,2015-04-30,"Spine Patient Outcomes Research Trial (SPORT): A Multicenter Randomized Trial for Degenerative Spondylolisthesis (DS) With Spinal Stenosis (SpS) at L4/L5 Level.",304,"Other",NA,84,10,6,16,68,NA,2000,2015,15,"North America",0,"United States","Non-Industry","Earlier 2013",5063240,"Decompressive laminectomy, Non-surgical treatments, Fusion--Instrumented, Fusion-Non-instrumented",0,"Non-opioids",601,506,61,34,95,"Late Phase","chronic",NA,10.1497504159734,"yes",0.112672727272727,1411554.90909091,"Mixed","non-kids","Non-Government","non-female","non-veterans",46.1950944377122,9491.76923076923,22.5239989320072,85.1428186047976,21.6627493713192,91.6375450192019,85.8863905765359,92.5076923076923,7.49230769230769,"0",43465.5384615385,"California,California,Georgia,Illinois,Maine,Michigan,Missouri,Nebraska,New Hampshire,New York,New York,Ohio,Pennsylvania","808,808,542,532,4,277,318,33,1,292,292,368,308",352.538461538462,38.4769230769231,25.5818181818182,11.5272727272727,5843604.84615385,64.5903846153846,11.6,"Before","0",0.501538461538462,"Mixed","large",33.1525596066752,"non-acute","chronic","non-cancer","3","0","1","3","2","1","0","1","1","2","2","2","2","2","2","1","1","1",57.5,51.1,76.0962277965154,16.1923076923077,60.3846153846154,67.9596153846154,1572049.30769231,88.4676552774953,43751.8461538462,14.9090909090909,1505526.23076923,10.5307692307692,8.97066031691119,"0","0","0","0","3","2","0","2","0","1","1","0","1","non-elderly",10.7292185429287,"general"
"2","NCT00058968",7,"Interventional","Phase 3",2002-10-31,2005-03-31,"Duloxetine Versus Placebo in the Treatment of Patients With Painful Diabetic Neuropathy",660,"Industry",NA,85,3,12,15,44,NA,2002,2005,3,"North America",0,"United States","Industry","Earlier 2013",5056530,"Duloxetine hydrochloride, placebo",1,"Non-opioids",1024,876,36,112,118,"Late Phase","chronic",NA,3.515625,"no",0.1607,3359030,NA,"non-kids",NA,"non-female","non-veterans",10.8520119990814,7664,22.4099354166667,83.6675053704509,20.0425132752181,93.1995588371443,85.4328926528048,86.8,13.2,"0",41702,"Florida","620",620,39.4,22.6,10.8,9673682,66.025,13.6,"Before",NA,0.54,"R","large",30.4516559104648,"non-acute","chronic","non-cancer","3","0","3","1","2","1","0","0","3","1","0","1","3","1","3","2","3","1",61.1,55.7,83.3,25.7,61.8,72.4,278099,84.3769657370662,38024,16,2875804,12.6,10.0831815208954,"0","0","0","3","3","3","0","1","0","1","3","1","2","non-elderly",15.261658159499,"general"
"3","NCT00109772",11,"Interventional","Phase 2",2005-02-28,2008-04-30,"A Multicenter, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of Lenalidomide in the Treatment of Complex Regional Pain Syndrome Type 1",184,"Industry",NA,93,4,3,7,80,NA,2005,2008,3,"North America",0,"United States","Industry","Earlier 2013",5051162,"lenalidomide, Placebo",1,"Non-opioids",180,167,7,6,13,"Early Phase","chronic",NA,3.88888888888889,"yes",0.116117647058824,1459593.47058824,"NON-PROFIT","non-kids","Non-Government","non-female","non-veterans",36.4901881207334,8142.03703703704,21.4749889198862,87.0674953486894,23.3349035726517,91.9238501819311,85.8741418198264,91.6777777777778,8.32222222222222,"0",44074.1111111111,"Arizona,California,California,Florida,Illinois,Illinois,Iowa,Maryland,Massachusetts,Massachusetts,Minnesota,Missouri,New York,New York,North Carolina,North Carolina,North Carolina,North Carolina,Ohio,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Texas,Texas,Virginia,Washington","60,808,808,620,532,532,34,269,45,45,71,318,292,292,264,264,264,264,368,18,308,308,308,624,624,249,79",321.037037037037,38.8592592592593,24.66,11.432,5971038,64.1425925925926,11.762962962963,"Before",NA,0.534074074074074,"Mixed","small",34.1290094213051,"non-acute","chronic","non-cancer","2","1","1","3","2","1","2","2","2","2","1","2","2","2","2","1","1","1",82.2444444444444,67.9814814814815,85.7185185185185,28.5740740740741,58.2444444444444,68.6259259259259,2474237.51851852,86.4755679188859,47408.5185185185,13.5769230769231,1532010.92592593,12.137037037037,9.34920292760804,"1","0","2","3","2","2","1","1","0","1","1","1","2","non-elderly",12.0281700754906,"general"
"4","NCT00118430",12,"Interventional","Phase 4",2004-09-30,2008-08-31,"Stepped Care for Affective Disorders and Musculoskeletal Pain",500,"Other","United States",58,38,4,42,52,500,2004,2008,4,"North America",0,"United States","Non-Industry","Earlier 2013",5050511,"Stepped Care, Antidepressants, Usual Care",1,"Non-opioids",500,291,191,18,209,"Late Phase","chronic",NA,38.2,"no",0.094,626587,"GOVERNMENT","non-kids","Government","non-female","non-veterans",4.87224867605803,1818,17.9853388888889,85.9917637754567,18.5947229808069,90.5223829489921,83.0146285385389,91.3,8.7,"1",34895,"Indiana","144",144,40.5,10.9,8.4,2921032,69.55,11.8,"Before","0",0.54,"R","large",26.882966396292,"non-acute","chronic","non-cancer","3","0","1","0","0","0","1","0","0","0","1","0","0","0","0","3","1","1",74.7,65.8,87.2,21.1,57.9,74.95,5099041,87.6053884529897,42329,4,578506,11.6,8.67182330071009,"0","0","2","2","2","3","2","2","0","0","0","0","1","non-elderly",8.9129530132787,"general"
"5","NCT00127413",14,"Interventional",NA,2004-09-30,2010-09-30,"Integrated Treatment for Chronic Pain and PTSD",42,"U.S. Fed","United States",60,31,9,40,19,42,2004,2010,6,"North America",0,"United States","Non-Industry","Earlier 2013",5049840,"Cognitive Behavioral Therapy - Pain, Cognitive Behavioral Therapy-Integrated, Cognitive Processing Therapy - PTSD, Treat as Usual",0,"Non-opioids",42,25,13,4,17,NA,"chronic","veterans",30.952380952381,"no",0.0763,522357,"GOVERNMENT","non-kids","Government","non-female","veterans",58.5333760063061,4954,20.3650436363636,86.6488909743447,30.2046212572762,92.5748748513401,88.2491152808066,97,3,"1",51842,"Massachusetts","45",45,39.3,23.6,13.5,2928732,61.325,9.8,"Before","0",0.33,"D","small",44.4377437165865,"non-acute","chronic","non-cancer","1","0","0","3","1","0","1","3","2","3","3","3","0","1","0","0","0","0",85.8,76.3,86.9,36.7,58.9,63.375,2263742,90.2213332592313,52019,1,410795,9.3,9.2587366295912,"1","2","2","3","3","1","0","2","1","0","0","0","2","non-elderly",6.26474130787064,"veterans"
"6","NCT00129480",15,"Interventional",NA,2006-01-31,2010-07-31,"Improving the Treatment of Chronic Pain in Primary Care",401,"U.S. Fed","United States",89,2,9,11,8,401,2006,2010,4,"North America",0,"United States","Non-Industry","Earlier 2013",5049688,"Assistance with Pain treatment",0,"Non-opioids",401,357,7,37,44,NA,"chronic",NA,1.74563591022444,"no",0.0191,78679,"GOVERNMENT","non-kids","Government","non-female","non-veterans",29.9686163978885,2691,21.7010141509434,88.5981383084975,27.5718109544165,94.3852426028864,88.1124219799947,92.8,7.2,"0",41773,"Oregon","18",18,38.7,NA,NA,1808465,62.375,10.6,"Before","0",0.48,"D","large",34.2300108729167,"non-acute","chronic","non-cancer","3","1","0","2","0","1","2","3","3","3","2","1","0",NA,"0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"non-elderly",1.73945683684397,"general"
"7","NCT00142519",16,"Interventional","Phase 2",2005-03-31,2018-07-31,"Translational Studies in Analgesic Pharmacology: Analgesic Synergy in Clinical Pain. A Phase 2 Study Comparing a Single Dose of a 1:1 Combination of Methadone and Morphine With Morphine Alone in Patients With Post-operative Pain.",50,"Other","United States",92,4,4,8,0,50,2005,2018,13,"North America",0,"United States","Non-Industry","Earlier 2013",5048698,"Methadone, methadone and morphine",1,"Opioids",50,46,2,2,4,"Early Phase","acute",NA,4,"no",0.1566,3065470,"PROPRIETARY","non-kids","Non-Government","non-female","non-veterans",202.884364842149,20351,24.2147890625,84.6531632829577,24.9827276206052,91.0321739581328,85.5337589965215,94.8,5.2,"0",48557,"New York","292",292,38.4,37,17.8,8404381,52,11.8,"Before","0",0.46,"D","small",37.275328091991,"acute","non-chronic","non-cancer","1","1","2","3","3","3","0","2","0","1","3","2","1","3","2","0","1","0",81.3,67.8,85.7,30.4,55.2,55.925,849932,87.9470878655293,47176,12,2792447,14.5,6.33298278377812,"0","0","2","3","1","0","0","2","0","1","3","2","0","non-elderly",14.3997846978615,"general"
"8","NCT00159679",17,"Interventional","Phase 4",2004-09-30,2005-10-31,"A 13 Week, Double-Blind, Placebo-Controlled Phase 4 Trial of Pregabalin (CI-1008, 600 mg/Day) for Relief of Pain in Subjects With Painful Diabetic Peripheral Neuropathy",167,"Industry",NA,74,12,14,26,38,NA,2004,2005,1,"North America",0,"United States","Industry","Earlier 2013",5047408,"Pregabalin",1,"Non-opioids",167,123,21,23,44,"Late Phase","chronic",NA,12.5748502994012,"yes",0.114769230769231,1536789.76923077,"PROPRIETARY","non-kids","Non-Government","non-female","non-veterans",37.7506213646743,9609.43333333333,23.9816091014856,87.1976694719104,23.1574860288768,92.4619294098517,85.9340741187136,89.38,10.62,"1",44836.6,"Arkansas,California,California,California,Colorado,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Massachusetts,Nebraska,Nebraska,Nevada,New Jersey,New Jersey,New Jersey,New York,New York,New York,North Carolina,Ohio,Pennsylvania,Texas,Texas,Texas,Texas,Texas","106,808,808,808,52,620,620,620,620,620,620,620,45,33,33,80,243,243,243,292,292,292,264,368,308,624,624,624,624,624",425.933333333333,39.18,24.0103448275862,10.6586206896552,7628457.63333333,62.6033333333333,12.3166666666667,"Before",NA,0.543666666666667,"Mixed","small",33.1354261499811,"non-acute","chronic","non-cancer","2","0","1","3","2","2","2","2","2","2","0","2","3","2","2","1","2","1",81.4466666666667,67.6533333333333,84.4833333333333,27.7866666666667,57.8433333333333,67.2791666666667,1733025.16666667,83.8017650566403,44607.7333333333,13.3666666666667,1968820.83333333,12.4733333333333,9.0799741479767,"0","0","1","3","2","2","0","1","0","1","2","1","1","non-elderly",11.6442890157394,"general"
"9","NCT00178178",18,"Interventional",NA,2005-03-31,2007-11-30,"A Placebo Controlled, Prospective, Randomized Clinical Investigation of the Efficacy of Continuous Infusion Regional Anesthetic on Postoperative Pain Following Arthroscopic Anterior Cruciate Ligament Reconstruction: A Comparison of Three Catheter Placement Positions",96,"Other","United States",94,4,2,6,28,96,2005,2007,2,"North America",0,"United States","Non-Industry","Earlier 2013",5046010,"Breg Pain Care 3000 Catheter, Bupivicaine 0.5%, Placebo",1,"Non-opioids",96,90,4,2,6,NA,"acute",NA,4.16666666666667,"no",0.1566,3065470,"NON-PROFIT","non-kids","Non-Government","non-female","non-veterans",202.884364842149,20351,24.2147890625,84.6531632829577,24.9827276206052,91.0321739581328,85.5337589965215,94.8,5.2,"0",48557,"New York","292",292,38.4,37,17.8,8404381,52,11.8,"Before","0",0.46,"D","small",37.275328091991,"acute","non-chronic","non-cancer","2","1","2","3","3","3","0","2","0","1","3","2","1","3","2","0","1","0",81.3,67.8,85.7,30.4,55.2,55.925,849932,87.9470878655293,47176,12,2792447,14.5,6.33298278377812,"0","0","2","3","1","0","0","2","0","1","3","2","0","non-elderly",14.3997846978615,"general"
"10","NCT00179348",19,"Interventional",NA,2001-02-08,2016-07-20,"Evaluation of a Yoga-Based Cancer Rehabilitation Program",399,"NIH",NA,23,43,34,77,100,NA,2001,2016,15,"North America",0,"United States","Non-Industry","Earlier 2013",5045923,"Quality-of-Life Assessment, Yoga",0,"Non-opioids",128,30,55,43,98,NA,"cancer",NA,42.96875,"no",0.1566,3065470,"PROPRIETARY","non-kids","Non-Government","non-female","non-veterans",202.884364842149,20351,24.2147890625,84.6531632829577,24.9827276206052,91.0321739581328,85.5337589965215,94.8,5.2,"1",48557,"New York","292",292,38.4,37,17.8,8404381,52,11.8,"Before","0",0.46,"D","small",37.275328091991,"non-acute","non-chronic","cancer","2","0","2","3","3","3","0","2","0","1","3","2","1","3","2","0","1","0",54.9,50.1,83.2,28.9,53.9,55.925,796510,86.0883620940299,42114,9,2792447,14.2,6.33298278377812,"0","0","0","3","1","0","0","1","0","1","3","2","0","non-elderly",14.3997846978615,"general"
